,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
21,7331056433066151210,2024-02-02T12:23:33,21.0,US,"['Climbing', ' wheel chair', ' Wheelchair Rapunzel']",280600.0,6981.0,3877.0,12600000.0,Climb stairs solo or assisted!  Stay tuned for our event schedules for 2024!🚨🎊✈️ @abilities_expo @Rollettes LA were coming for you!  #disabilitytiktok #mobiusmobility #accessibility #disability #abilities #abilitiesexpo #california #rollettesdance #rollettesexperience #expo #accessibilitytravel #accessibilitymatters #reachclimbgo #mobility #news #sci #fyp #foryoupage #trending #inclusion #accessible #wheelchair #mobility #spinalcordinjuryrecovery #disability #disabilitytiktok #abilitynotdisability #awareness #california #newyork #pensilvania #minnesota #missouri #reachclimbgo #ibot #tech #trending #viral #instagram #youtube #tiktok ,False,,mobiusmobility,Mobius Mobility,,,,,,False,"['disabilitytiktok', 'mobiusmobility', 'accessibility', 'disability', 'abilities', 'abilitiesexpo', 'california', 'rollettesdance', 'rollettesexperience', 'expo', 'accessibilitytravel', 'accessibilitymatters', 'reachclimbgo', 'mobility', 'news', 'sci', 'fyp', 'foryoupage', 'trending', 'inclusion', 'accessible', 'wheelchair', 'mobility', 'spinalcordinjuryrecovery', 'disability', 'disabilitytiktok', 'abilitynotdisability', 'awareness', 'california', 'newyork', 'pensilvania', 'minnesota', 'missouri', 'reachclimbgo', 'ibot', 'tech', 'trending', 'viral', 'instagram', 'youtube', 'tiktok']"
158,7343639842296794410,2024-03-07T10:13:28,229.0,US,"['independence day speech', ' bill pullman', ' bill pullman president speech', ' president head statue', ' biden fall collection', ' morgan freeman', ' bill pullman independence day', ' president bartlett', ' geena davis president']",72500.0,7915.0,2297.0,737700.0,From one real presdient to five fictional presidents — watch as Joe Biden calls up Hollywood’s favore presidents for some advise ahead of the 2024 State of the Union. #sotu #biden #scandal #fyp #2024 ,False,,couriernewsroom,COURIER,,,,,,True,"['sotu', 'biden', 'scandal', 'fyp', '2024']"
203,7343649168491269422,2024-03-07T10:49:35,111.0,US,"['kellogg ceo apologize', ' tall girl boycott', ' kelloggs 99 cents', ' tallgirl6234 kellogs', ' kellogg boycott explained', ' rice crispy treats kellogg', ' kelloggs cereal for dinner', "" Kellogg's Gansito Cereal"", ' Mr Kellogg Chicago Med Court', ' kelloggs boycott canada']",374500.0,10900.0,9221.0,2300000.0,#greenscreen #greenscreenvideo #kelloggs #kelloggsboycott #capitalism #garypilnick #inflation ,False,,reyahthelastdragon,Reyah the Last Dragon🐲,,,,,,False,"['greenscreen', 'greenscreenvideo', 'kelloggs', 'kelloggsboycott', 'capitalism', 'garypilnick', 'inflation']"
209,7343713370614336811,2024-03-07T14:59:21,86.0,US,"['Cillian Murphy', ' cillian murphy meme', ' Oppenheimer', ' Oppenheimer Cast', ' emily blunt', ' Cillian Murphy Actor', ' Oppenheimer Movie', ' Robert Downey Jr.', ' Cillian Murphy In Oppenheimer', ' rdj and cillian murphy']",86400.0,729.0,349.0,734000.0,Changing our ringtone to #CillianMurphy saying “fire fire fire fire!” 😂🔥 #RobertDowneyJr #EmilyBlunt #Oppenheimer #Oscars #FilmTok ,False,,people,People Magazine,,,,,,True,"['cillianmurphy', 'robertdowneyjr', 'emilyblunt', 'oppenheimer', 'oscars', 'filmtok']"
224,7343608279932783918,2024-03-07T08:10:59,243.0,US,"['cops arresting undercover fbi agent', ' undercover fbi agent', ' arresting fbi agent', ' cop arrests federal agent', ' avi undercover cop', ' Cops Saving Lives']",304800.0,1758.0,2350.0,9000000.0,Cops Arrest Undercover FBI Agent#office #police #copsoftiktok #trending #viral #learnontiktok ,False,,lawohio,Kevin law,,,,,,False,"['office', 'police', 'copsoftiktok', 'trending', 'viral', 'learnontiktok']"
261,7342884675536457006,2024-03-05T09:22:57,61.0,US,"['aoc palestine', ' Movie Theater', ' aoc supports israel', ' Nyc Scary Parade', ' movie theater popcorn']",7607.0,207.0,291.0,220200.0,AOC snaps at NYC protesters at movie theater demanding she call Israel’s military campaign in Gaza genocide,False,,nypost,New York Post | News,,,,,,True,[]
322,7343623672848059690,2024-03-07T09:10:44,88.0,US,"['sophia orange is the new black', ' sophia oitnb', ' sophia orange is the new black backstory', ' orange is the new black', ' film clips', ' Film', ' sophia and elliot', ' Sophia Black', ' Sophia Richie Grainge', ' taylor & sophia']",24400.0,12.0,61.0,398900.0,Part42 #tiktok #foryou #fyp #police #film ,False,,rungemccorkle,Star_moive,,,,,,False,"['tiktok', 'foryou', 'fyp', 'police', 'film']"
347,7330744742084431147,2024-02-01T16:13:49,55.0,US,"['tiktok ceo', ' tiktok vs congress', ' tom cotton apology to ceo tiktok espo', ' Tom', ' Ceo Confronts Manager']",1400000.0,13000.0,12000.0,12300000.0,Tom almost got’em #tiktok #shouchew #congress ,False,,fungbros,Fung Bros,,,,,,False,"['tiktok', 'shouchew', 'congress']"
354,7343266113096011050,2024-03-06T10:03:06,129.0,US,"['Starbuck', ' starbucks coffee', ' Dropping Starbucks', ' Starbucks Barista', ' Starbucks Coffee Orders', ' Starbucks USA', ' Starbucks Drink Orders', ' Starbucks Orders', ' nathan fielder starbucks', ' why are people boycotting mcdonalds and starbucks']",7361.0,147.0,124.0,43300.0,update 3.6 - why are we boycotting starbucks? is it working?  #leftist #fyp #starbucks #boycott #news #union #capitalism #socialism #traderjoes ,False,,c.a.i.t.l.y.n,caitlyn 🌹,,,,,,False,"['leftist', 'fyp', 'starbucks', 'boycott', 'news', 'union', 'capitalism', 'socialism', 'traderjoes']"
380,7343766889954331946,2024-03-07T18:26:35,192.0,US,"['welcome to video website', ' scary stories', ' scary stories to tell in dark', ' horror story', ' Devils Underground Heaven']",59300.0,351.0,1142.0,684300.0,This story will haunt you. #truecrime #truecrimetiktok #truecrimetok #truecrimecommunity #creep #creeper #creepy #crime #crimetok #story #storytime #darkweb #dark #disturbing #evil #awareness #scary #crimejunkie ,False,,theparanormalfiles,The Paranormal Files,,,,,,False,"['truecrime', 'truecrimetiktok', 'truecrimetok', 'truecrimecommunity', 'creep', 'creeper', 'creepy', 'crime', 'crimetok', 'story', 'storytime', 'darkweb', 'dark', 'disturbing', 'evil', 'awareness', 'scary', 'crimejunkie']"
