,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
9,7325971575247883563,2024-01-19T19:31:59,87.0,US,"['a real pain movie', ' a real pain trailer', ' kieran culkin', ' jesse eisenberg', ' a real pain', ' jesse eisenberg kieran culkin', ' Jesse', ' Sprite', ' Jesse Eisenberg Funny Moments', ' a real pain movie scene']",38700.0,375.0,203.0,545600.0,"Jesse Eisenberg describes his ""A Real Pain"" co-star Kieran Culkin as a ""mercurial sprite."" | Variety Studio presented by @Audible  #Sundance ",False,,varietymagazine,Variety,,,,,,True,['sundance']
109,7325125661981527338,2024-01-17T12:48:58,48.0,US,"['carson daly', ' Ayo Edebiri', ' the bear', ' carson daly tattoos', ' ayo edebiri carson daly', ' carson', ' ayo edebri emmys', ' ayo edebiri snl', ' ayo edebiri golden globes', ' emmys awards 2024']",67200.0,161.0,140.0,681300.0,"When #AyoEdebiri won an #Emmy for her role in “The Bear,” she handed #CarsonDaly some of her belongings before walking up on stage, and he says he ""may"" have taken photos on her phone while waiting for her to return.",False,,nbcnews,nbcnews,,,,,,True,"['ayoedebiri', 'emmy', 'carsondaly']"
110,7325954342815583531,2024-01-19T18:40:00,22.0,US,"['kieran culkin wife', ' kieran culkin', ' kieran culkin and macaulay culkin', ' kieran and macaulay', ' kieran culkin dad', ' kieran culkin jesse eisenberg', ' kieran culkin succession', ' macaulay culkin', ' rory culkin']",25600.0,102.0,126.0,389200.0,"after awards craziness and now visiting the film festival in park city, #kieranculkin shares that he's just ready to be a dad for a bit while chatting with thr in the studio at the pendry hotel",False,,hollywoodreporter,The Hollywood Reporter,,,,,,True,['kieranculkin']
125,7325959500425383210,2024-01-19T18:44:48,19.0,US,"['jrue holiday', ' jrue holiday wife', ' jrue holiday family', ' family', ' jrue holiday celtics', ' jrue', ' Celtics', ' NBA Wholesome Moments', ' jrue holiday and his wife', ' Boston Celtics']",53500.0,311.0,365.0,2400000.0,So wholesome 🥹 #jrueholiday #celtics #nba #family ,False,,espn,ESPN,,,,,,True,"['jrueholiday', 'celtics', 'nba', 'family']"
133,7325482938097814815,2024-01-18T11:56:05,40.0,US,"['tommy devito', ' tommy devito agent fired', ' tommy devito agent', ' chazz palminteri', ' Tommy', ' New York Giants', ' nygiants', ' tommy devito pizza', ' Giants Football', ' devito agent']",39600.0,221.0,154.0,540100.0,"He did it for free? Tommy Devito from the NY Giants did the right thing and its going to come back to him 10 fold. It may be old news by now, but I really appreciate what he did for Coniglios Pizza when there was a misunderstanding about his appearance fee. The pizzeria said that they can do it for $10k, but after a Monday Night football win against the Packers his agent seemingly doubled the price to $20k.  The Pizzeria had to cancel the event due to being unable to afford that and Tommy Cutlets heard the news. Tommy did the right thing and went to the pizzeria to personally apologize for the misunderstanding and have a slice of pizza with a few fans.  Your making the Italian community proud Tommy!!! Also... COME ON MY PODCAST!!! #nfl #playoffs #tommydevito #nygiants #football #superbowl",False,,chazzpalminteri,Chazz Palminteri,,,,,,False,"['nfl', 'playoffs', 'tommydevito', 'nygiants', 'football', 'superbowl']"
146,7325939107618671902,2024-01-19T17:25:35,99.0,US,"[""Charlie's Angels"", ' Cameron Diaz', ' Lucy Liu', ' julia fox', "" Charlie's Angels Lucy Liu"", "" cameron diaz charlie's angels"", "" lucy liu charlie's angels barracuda"", ' lucy liu killbill costume', ' lucy liu edits', ' lucy liu and rdj']",35000.0,214.0,673.0,374900.0,"Will a ""Charlie's Angels 3"" ever happen? #LucyLiu weighs in. | Variety Studio presented by @Audible  #Sundance ",False,,varietymagazine,Variety,,,,,,True,"['lucyliu', 'sundance']"
160,7325946276229467434,2024-01-19T17:53:30,17.0,US,[],160.0,1.0,3.0,5900.0,#lucyliu gets fierce in thr’s photo studio at the pendry hotel in park city ,False,,hollywoodreporter,The Hollywood Reporter,,,,,,True,['lucyliu']
197,7325901460057754923,2024-01-19T18:00:00,53.0,US,[],15.0,0.0,0.0,1070.0,Pete Carroll has enjoyed a successful career in the NFL. Which team would you prefer to see him coach next? #gridirongutcheck #petecarrol #football #sports,False,,wonderymedia,Wondery Podcasts,,,,,,True,"['gridirongutcheck', 'petecarrol', 'football', 'sports']"
241,7325560517857217822,2024-01-18T16:56:52,5.0,US,"['mike tomlin', ' mike tomlin leaving', ' mike tomlin contract', "" mike tomlin we don't care"", ' mike tomlin walks off', ' NFL Football', ' Football', ' mike tomlin anybody got any contract questions', ' footballtiktok', ' steelers']",52600.0,720.0,454.0,909600.0,Mike Tomlin is hilarious 😂  (Via @Pittsburgh Steelers)  #nfl #nflfootball #football #steelers ,False,,bleacherreport,bleacherreport,,,,,,True,"['nfl', 'nflfootball', 'football', 'steelers']"
274,7325847774208085290,2024-01-19T11:31:07,58.0,US,"['Anthony Edwards', ' anthony edwards highlight', ' anthony edwards dunk', ' pat bev anthony edwards', ' Basketball Players', ' stephenasmith', ' Basketball NBA', ' Sports NBA', ' nba', ' timberwolves']",89400.0,2537.0,2054.0,980700.0,@stephenasmith on Ant Edwards 🔥 (via First Take) #antedwards #timberwolves #nba #basketball #michaeljordan #kobebryant #vincecarter ,False,,espn,ESPN,,,,,,True,"['antedwards', 'timberwolves', 'nba', 'basketball', 'michaeljordan', 'kobebryant', 'vincecarter']"
