Hashtag name,Link,Initials
uspolitics,https://www.tiktok.com/tag/uspolitics?lang=en,EM
republicans,https://www.tiktok.com/tag/republicans?lang=en,EM
republican,https://www.tiktok.com/tag/republican?lang=en,EM
democrat,https://www.tiktok.com/tag/democrat?lang=en,EM
democrats,https://www.tiktok.com/tag/democrats?lang=en,EM
liberal,https://www.tiktok.com/tag/liberal?lang=en,EM
politics,https://www.tiktok.com/tag/politics?lang=en,EM
politicaltiktok,https://www.tiktok.com/tag/politicaltiktok?lang=en,CJ
2024election,https://www.tiktok.com/tag/2024election?lang=en,CJ
2024president,https://www.tiktok.com/tag/2024president?lang=en,CJ
news,https://www.tiktok.com/tag/news,CJ
breakingnews,https://www.tiktok.com/tag/breakingnews,CJ
conservative,https://www.tiktok.com/tag/conservative?lang=en,TR
immigration,https://www.tiktok.com/tag/immigration?lang=en,TR
bordercrisis,https://www.tiktok.com/tag/bordercrisis?lang=en,TR
ukraine,https://www.tiktok.com/tag/ukraine?lang=en,TR
palestine,https://www.tiktok.com/tag/palestine?lang=en,TR
gaza,https://www.tiktok.com/tag/gaza,CF
election,https://www.tiktok.com/tag/election,CF
trump,https://www.tiktok.com/tag/trump,CF
biden,https://www.tiktok.com/tag/biden,CF
covid,https://www.tiktok.com/tag/covid,CF
economy,https://www.tiktok.com/tag/economy,BB
breakingnews,https://www.tiktok.com/tag/breakingnews,BB
journalism,https://www.tiktok.com/tag/journalism,BB
worldnews,https://www.tiktok.com/tag/worldnews,BB
economics,https://www.tiktok.com/tag/economics,BB
FederalReserve,https://www.tiktok.com/tag/federalreserve,BB
leftist,https://www.tiktok.com/tag/leftist,AMWY
liberalism,https://www.tiktok.com/tag/liberalism,AMWY
trump2024,https://www.tiktok.com/tag/trump2024,AMWY
newstiktok,https://www.tiktok.com/tag/newstiktok,AMWY
2024election,https://www.tiktok.com/tag/2024election,AMWY
newsattiktok,https://www.tiktok.com/tag/newsattiktok,AH
