,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
8,7322192502713535790,2024-01-09T15:06:54,182.0,US,[],6.0,0.0,0.0,789.0,TIMO WERNER TO SPURS COMPLETE. How would you rank his move?  ⭐ Ranking Move for the Player  ⭐ Ranking Move for the Club Tea & Tackles. Episode 8 now Live on YouTube and Spotify. Check it out. YOUTUBE: UpTheAnteBetting SPOTIFY: Tea & Tackles  #Soccer #Football #Podcast #Transfers #TimoWerner #Spurs #Tottenham ,False,,teaandtacklespod,TEA&TACKLESPOD,,,,,,False,"['soccer', 'football', 'podcast', 'transfers', 'timowerner', 'spurs', 'tottenham']"
27,7322108437674937630,2024-01-09T09:41:22,9.0,US,[],26500.0,321.0,266.0,352500.0,We need an official 40 time for Katt Williams 😂  (Via thelilmoshow/IG)  #nba #nbabasketball #kattwilliams #kevinhart ,False,,bleacherreport,bleacherreport,,,,,,True,"['nba', 'nbabasketball', 'kattwilliams', 'kevinhart']"
73,7321462210813775146,2024-01-07T15:52:59,61.0,US,"['Mario Balotelli', ' why always me', ' lance stephenson', ' lance stephenson highlights', ' balotelli highlights', ' mario balotelli now', ' balotelli outfits', ' lance stephenson x balotelli', ' balotelli edit', ' mario balotelli outfit']",354900.0,719.0,858.0,2200000.0,Super Mario 🍄  #italy #balotelli #mariobalotelli #supermario #mancity #milan #intermilan #rabona #golaso #goals #football #clinical #freekick #class #seria #euros ,False,,immortal.sports5,Immortal Sports,,,,,,False,"['italy', 'balotelli', 'mariobalotelli', 'supermario', 'mancity', 'milan', 'intermilan', 'rabona', 'golaso', 'goals', 'football', 'clinical', 'freekick', 'class', 'seria', 'euros']"
74,7306946537563737390,2023-11-29T13:04:47,83.0,US,"['Joe Burrow', ' why did joe burrow wear joe burreaux', ' 2019 lsu football', ' joe burrow lsu', ' justin jefferson lsu', ' joe burrow edits', ' joe shiesty', ' lsu 2019', ' burreaux', ' justin jefferson']",470600.0,855.0,1156.0,3500000.0,Joe Shiesty 🤩🤩 #nfl #collegefootball #joeburrow #lsufootball #fyp #edit #football ,False,,banditott,Bandito,,,,,,False,"['nfl', 'collegefootball', 'joeburrow', 'lsufootball', 'fyp', 'edit', 'football']"
77,7321949971094277419,2024-01-08T23:25:55,34.0,US,"['michigan vs washington', ' michael penix jr', ' michael penix jr hit', ' Michigan', ' national championship 2024', ' michael penix jr crying', ' michigan football', ' washington after the game', ' michael penix jr after national championship', ' michigan national championship']",118900.0,466.0,1562.0,1400000.0,#michaelpenixjr #washington #michigan #cfbplayoff #nationalchampionship,False,,espn,ESPN,,,,,,True,"['michaelpenixjr', 'washington', 'michigan', 'cfbplayoff', 'nationalchampionship']"
96,7322128391615008046,2024-01-09T10:58:29,25.0,US,"['lsu cheerleader jig', ' lsu cheerleaders', ' sarah lee lsu cheerleader', ' lsu', ' lsu jigging', ' Cheerleader', ' lsu hip hop', ' lsu celebration', ' Louisiana State University', ' Football']",19500.0,397.0,786.0,608700.0,She went off! 🔥👏 (via @ICanMultiply) #lsu #louisiana #dance #football,False,,espn,ESPN,,,,,,True,"['lsu', 'louisiana', 'dance', 'football']"
117,7321959009051807018,2024-01-09T00:01:16,9.0,US,"['jj mccarthy', ' jj mccarthy edit', ' jj mccarthy girlfriend katya', ' jj mccarthy girlfriend', ' jj mccarthy highlights', ' michigan winning championship', ' Michigan', ' JJ Mccarthy Ryan Keeler', ' michigan wins', ' J.J. McCarthy Combine']",218000.0,1436.0,1050.0,2900000.0,A man of the people! #jjmccarthy #michigan #nationalchampionship #viral,False,,yahoosports,Yahoo Sports,,,,,,True,"['jjmccarthy', 'michigan', 'nationalchampionship', 'viral']"
125,7321950658549140778,2024-01-08T23:28:45,12.0,US,"['Jim Harbaugh', ' michigan vs washington', ' jim harbaugh nfl', ' gatorade bath', ' jim harbaugh gatorade bath', ' Michigan', ' Michigan Football', ' michigan national championship', ' jim harbaugh 49ers', ' michigan wins']",264400.0,1428.0,789.0,3800000.0,#Michigan threw the bucket on #JimHarbaugh after they won the natty 🏆 #cfp #nationalchampionship,False,,espn,ESPN,,,,,,True,"['michigan', 'jimharbaugh', 'cfp', 'nationalchampionship']"
140,7321505225980890410,2024-01-07T18:40:10,0.0,US,"['meechie walker', ' michigan vs washington', ' what happened to meechie', "" meechie walker i don't wanna dye"", ' Michigan', ' michigan football', ' who won michigan vs washington', ' jj mccarthy', ' meechie michigan football', ' michigan wins']",258600.0,516.0,38800.0,1600000.0,#meechiewalker #flyhigh #rip #goblue #fyp #michigan #uofm #courmnation #foryoupage #jjmccarthy #blakecorum #jimharbaugh ,False,,corum.nation,corum.nation,,,,,,False,"['meechiewalker', 'flyhigh', 'rip', 'goblue', 'fyp', 'michigan', 'uofm', 'courmnation', 'foryoupage', 'jjmccarthy', 'blakecorum', 'jimharbaugh']"
142,7322098457882217771,2024-01-09T09:02:48,15.0,US,[],40000.0,174.0,239.0,289400.0,😂😂😂 (via  @Trill) #michigan #collegefootball #nationalchampionship #cfp #theovon ,False,,espn,ESPN,,,,,,True,"['michigan', 'collegefootball', 'nationalchampionship', 'cfp', 'theovon']"
