abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
Prosecutors said some of the weapons recovered from the scene of the Feb. 14 shooting had been unlawfully purchased or trafficked.,"Three men have been charged with firearms trafficking and other crimes as part of the investigation into the shooting that marred a Super Bowl victory celebration in Kansas City, Mo., federal prosecutors said on Wednesday.","{'main': 'Three Men Face Federal Gun Charges in Kansas City Super Bowl Parade Shooting', 'kicker': None, 'content_kicker': None, 'print_headline': '3 Men Face Gun Charges For Shooting At a Parade', 'name': None, 'seo': None, 'sub': None}","['Parades', 'Super Bowl', 'Murders, Attempted Murders and Homicides', 'Firearms', 'Kansas City, Mo, Shooting (Feb 14, 2024)', 'Kansas City (Mo)']",2024-03-14T00:20:05+0000,article,U.S.
"The program would be the largest investment ever for the union, which spent around $150 million in the 2020 presidential cycle.",The Service Employees International Union said on Wednesday that it would spend $200 million to reach out and mobilize working-class voters to back President Biden and other Democrats.,"{'main': 'S.E.I.U. Plans $200 Million Effort to Aid Biden and Democrats', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Service Employees International Union', 'Democratic Party', 'Biden, Joseph R Jr', 'Presidential Election of 2024', 'United States Politics and Government', 'Organized Labor']",2024-03-14T00:34:18+0000,article,U.S.
The National Park Service plans to chop down 140 of the trees as it builds a new sea wall to protect the area around the Jefferson Memorial.,"Around 140 cherry trees that form part of Washington’s iconic spring attraction will be chopped down this year to make way for the construction of new, taller sea walls to protect the area around the Jefferson Memorial.","{'main': 'Some of Washington’s Iconic Cherry Trees Are About to Disappear', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trees and Shrubs', 'National Parks, Monuments and Seashores', 'Parks and Other Recreation Areas', 'United States Politics and Government', 'National Park Service', 'Washington (DC)']",2024-03-14T00:44:08+0000,article,U.S.
"Mr. Culver, who was best known for his demise as Captain Needa in “The Empire Strikes Back,” was also a familiar actor on British TV and in theater.","Michael Culver, the British actor best known for one of the memorable death scenes in the “Star Wars” franchise, died on February 27. He was 85.","{'main': 'Michael Culver, ‘Star Wars’ Actor and Victim of Darth Vader, Dies at 85', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Deaths (Obituaries)', 'Actors and Actresses', 'Movies', 'Star Wars (Movie)', 'The Empire Strikes Back (Movie)', 'Theater', 'Television', 'Death and Dying', 'Connery, Sean', 'Page, Anthony (1935- )']",2024-03-14T01:35:07+0000,article,Arts
"The vice president met with abortion providers and staff members in Minneapolis, a striking political move that shows how assertive Democrats have grown on the issue.","Vice President Kamala Harris met with abortion providers and staff members on Thursday in the Twin Cities, a visit that is believed to be the first stop by a president or vice president to an abortion clinic.","{'main': 'Kamala Harris Visits Abortion Clinic, in Historic First', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Harris, Kamala D', 'Abortion', 'Minneapolis (Minn)', 'Presidential Election of 2024', 'United States Politics and Government', 'Democratic Party', 'Biden, Joseph R Jr']",2024-03-14T01:40:38+0000,article,U.S.
"He was called a visionary in cable television, but his foray into the world of the internet, in a marriage with AOL, proved disastrous.","Gerald M. Levin, a “visionary” media executive, as he was often described, who ran the world’s largest media company, Time Warner, and became an architect of its merger with America Online, widely considered the worst corporate marriage in American history, died on Wednesday. He was 84.","{'main': 'Gerald M. Levin, Time Warner Chief in a Merger Debacle, Dies at 84', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Deaths (Obituaries)', 'Levin, Gerald M', 'Time Warner Inc', 'AOL Inc', 'Media', 'Cable Television', 'Mergers, Acquisitions and Divestitures', 'Home Box Office', 'Case, Stephen M', ""Tinderbox: HBO's Ruthless Pursuit of New Frontiers (Book)""]",2024-03-14T01:40:46+0000,article,Obituaries
Jeffrey Martinovic wishes us all a happy holiday.,Jump to: Today’s Theme | Tricky Clues,"{'main': 'An Irrational Reason to Celebrate', 'kicker': 'wordplay, the crossword column', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Games']",2024-03-14T02:00:16+0000,article,Crosswords & Games
"In Jamie Lloyd’s revival of Lucy Prebble’s play, Paapa Essiedu and Taylor Russell are a couple who fall in love during a pharmaceutical trial.","A white plastic bucket sits on a spare stage at the Shed, where the director Jamie Lloyd’s stark, riveting production of “The Effect” opened on Wednesday night. By the time its content — a human brain — is revealed, Lucy Prebble’s heady and scintillating drama is already interrogating the biology of desire.","{'main': '‘The Effect’ Review: Dissecting the Science of Desire', 'kicker': 'Critic’s Pick', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Theater', 'Theater (Off Broadway)', 'Shed (Manhattan, NY)', 'Essiedu, Paapa', 'Lloyd, Jamie', 'Prebble, Lucy', 'Russell, Taylor (1994- )', 'The Effect (Play)']",2024-03-14T02:00:17+0000,article,Theater
"A Democratic group is spending about $2.7 million on a television ad promoting Bernie Moreno, who was endorsed by Donald Trump, just ahead of next week’s Republican primary.","A Democratic group is wading into the Republican Senate primary in Ohio with a new television spot aimed at promoting the conservative credentials of Bernie Moreno, a Cleveland-area businessman who has been endorsed by former President Donald J. Trump.","{'main': 'Democrats Meddle in Ohio G.O.P. Senate Primary, Pushing Trump’s Choice', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Moreno, Bernie (1967- )', 'Conservatism (US Politics)', 'United States Politics and Government', 'Senate Majority PAC', 'Republican Party', 'Democratic Party', 'Ohio', 'Trump, Donald J', 'Elections, Senate', 'Primaries and Caucuses', 'Political Advertising', 'Political Action Committees', 'Brown, Sherrod']",2024-03-14T02:15:33+0000,article,U.S.
"Large crowds packed the streets to celebrate the tradition of Chaharshanbeh Suri. Iran has banned dancing in public, which has also been a way to protest.","Iranians have looked for opportunities in recent months to display defiance against the rules of the clerical government. In Tuesday night’s annual fire festival, many found a chance.","{'main': 'Dancing and Jumping Over Fire, Iranians Use Holiday to Defy Rules', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Iran', 'Tehran (Iran)', 'Holidays and Special Occasions', 'Demonstrations, Protests and Riots', 'Dancing']",2024-03-14T02:16:12+0000,article,World
"Quotation of the Day for Thursday, March 14, 2024.","“During a war, the difference between life and death can be one phone call.”","{'main': 'Quotation of the Day: Risking Their Lives to Restore a Phone Network', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-03-14T02:18:11+0000,article,Corrections
Several communities in the Valparaíso region were being evacuated. Fires along the coast killed more than 100 people last month.,"The authorities were battling another round of dangerous wildfires along Chile’s Pacific Coast early Thursday morning, several weeks after blazes there killed more than 100 people.","{'main': 'New Wildfires Threaten Chile’s Pacific Coast', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Wildfires', 'Fires and Firefighters', 'Evacuations and Evacuees', 'Boric, Gabriel', 'Chile', 'Valparaiso (Chile)', 'Vina del Mar (Chile)']",2024-03-14T02:34:10+0000,article,World
"Corrections that appeared in print on Thursday, March 14, 2024.","An article on Saturday about a proposed national security law in Hong Kong misstated the number of days a person suspected of endangering national security could be detained, without charge, under proposed legislation. It is as many as 16 days, not as many as 14 days.","{'main': 'Corrections: March 14, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-03-14T03:06:18+0000,article,Corrections
