,VideoID,Transcription
0,7327030842809748779,🎵🎵🎵 🎵🎵🎵 🎵🎵🎵
1,7329701697847086366,Anna Fry going to the Superbowl!
2,7330061144175955231,"Oh bruh, no way. No way. I just got a text message. I could cry right now, bro. Oh my god. Donald, this is Mark Lillibirds, the GM of the San Antonio Brahmins. Last year I was DPP of the Roughnecks. You have a heck of a kicking background. Aside from your social media success, would you be interested in kicking for the Brahmins? The boys finally, finally, finally see the boys getting signed."
3,7319957904809987374,आइ लेला किया बहाओ ते टेटनों हुने तो वैमे डर्सी ढर्सी पेरा बैल हुने तो याद तेरी आवे किट्ट बैल फुड़े तो करो हटंड बुद्द याथ वार वेज़ट दे टेट्शन हो गया तेड़ी मुझे हुने तो वैमे डर्सी डर्सी वैमे डर्सी डर्सी
4,7319374100680576302,المزارع خارجة من حارب الجبعة، المصطفين يقولون أمر، نحن نعمل كما تريدون، أنا عشيت هنا، أنا أتعب عليها، عشيت هنا، حسبي الله عليها، حسبي الله عليها، هناك تدراجات في سنة 2000، كلها جايين مقطعينها في الليل، ليلة الأربعة، مغرض إلي ومعي طابوا فيها، حسبي الله عليهم، شو بدهم منها؟
5,7325130140306967854,"You guys know how American presidents handled American citizens' overwhelming disapproval of the Vietnam War. In the past 100 days, hundreds of thousands of Americans have voiced their disapproval of American involvement in the bombardment of Russia. But despite 61% of likely voters supporting the U.S. calling for a permanent ceasefire, Joe Biden surpassed Congress and sent millions in aid to Israel to continue bombing of Russia. This is not the first time that an American president continued U.S. involvement in a devastating war despite American disapproval. The Vietnam War was notoriously opposed by the American people, and presidents like Lyndon B. Johnson and Richard Nixon received a lot of backlash for dragging that bloody war out. The war lasted for almost 20 years and resulted in the death of 58,220 members of the U.S. military, as well as the slaughter of 2 million civilians in Vietnam and its surrounding countries. Between 1963 to 1975, it's reported that tens of millions of Americans protested against the Vietnam War by participating in marches, hunger strikes, work strikes, and refusal to partake in the military drafts. But still, the war carried on despite growing disdain from the American public. John F. Kennedy hinted that he would withdraw from the war if re-elected, but he was assassinated before that could ever happen. Lyndon B. Johnson was heavily associated with the controversial war and didn't even run for re-election. Protesters would actually show up wherever he was, which resulted in violence from police who would beat them with their nightsticks, and so Johnson would rarely make public appearances in America. When running for president, Nixon made promises that he would end the war, but instead actually sabotaged peace deals, and later withdrew troops from Vietnam, but then sent more troops into the neighboring countries of Cambodia and Laos, devastating those countries with the help of his advisor Henry Kissinger. In attempts to end the war with some dignity after serious condemnation from the American public, he called on the silent majority to show support for the war, and even orchestrated violent pro-war demonstrations, often referred to as hard hat riots, because they were led by construction workers who would assault anti-war protesters with little to no intervention from the police. American forces themselves were complicit in violence towards anti-war protesters, like when the Ohio National Guard shot 12 American students who were unarmed at Kent State University, also known as the Kent State Massacre. Now, despite the chaos and growing divide between the Americans that the Vietnam War caused, Nixon kept at it until there was finally a truce, and Nixon eventually became the first and only president to resign, following another scandal he could not get out of, and thousands of American families, and now veterans, still feel the effects of the losses caused by the presidents who did not care for what the American people wanted. If you don't believe me, you can read about it, and as always, I've left all sources in the comments."
6,7325491869574532395,CHOKETATE
7,7319222326548073771,"You would die to see me naked Jeez, that bitch sexy And I'm there like that's my bestie Fuck with me"
8,7334525377911590187,"Some people want it all, but I don't want nothing at all If it ain't you, baby, if I ain't got you, baby Some people want diamond rings Some just want everything, but everything means nothing If I ain't got you"
9,7324151527893896490,"News, tellin' lies, check the facts that they cover Cuz my people out here cryin' or they dyin' or they suffer And just notice for my people up in Gaza and Ramallah And it's free, Falestin until it's backwards, motherfucker I'm a speaker for my people, fuck this rap shit Forcin' children out they homes when they ain't have shit Killin' mothers, children, askin' why there's no one here to love em"
