abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"The occasion was a profile of a “Curb Your Enthusiasm” co-star, but Lewis got plenty of good lines in as he reminisced about starting out with Larry David.","Richard Lewis called me barely a month ago, on Jan. 22, to gush about his friend Susie Essman.","{'main': 'Richard Lewis Riffing in One of His Last Interviews', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Comedy and Humor', 'Television', 'Lewis, Richard (Comedian)', 'David, Larry', 'Essman, Susie']",2024-02-29T00:04:04+0000,article,Arts
"By scheduling a hearing for late April on the former president’s assertion that he cannot be prosecuted for his actions in office, the justices increased the chances that he will not face trial by Election Day.","The Supreme Court that former President Donald J. Trump helped to shape tossed him a legal lifeline on Wednesday night, making a choice that substantially aided his efforts to delay his federal trial on charges of plotting to overturn the 2020 election.","{'main': 'In Taking Up Trump’s Immunity Claim, Supreme Court Bolstered His Delay Strategy', 'kicker': 'news analysis', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Federal Criminal Case Against Trump (2020 Election Case)', 'Immunity from Prosecution', 'Presidential Election of 2024', 'Justice Department', 'Supreme Court (US)', 'Trump, Donald J', 'Smith, Jack (Attorney)', 'Chutkan, Tanya S']",2024-02-29T00:19:44+0000,article,U.S.
"Mr. Suozzi, a Democrat, sought to use his return to Washington after a closely watched special election to push both parties toward the middle.","It took three frantic months for Tom Suozzi to fight his way back to Congress. On Wednesday, after taking the oath of office, Mr. Suozzi waited just moments to excoriate the place.","{'main': 'Tom Suozzi Returns to Congress With 2 Words for House: ‘Wake Up’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Suozzi, Thomas R', 'United States Politics and Government', 'Speeches and Statements', 'House of Representatives', 'Elections, House of Representatives', 'Democratic Party', 'New York State']",2024-02-29T00:37:42+0000,article,New York
"The judge, a Democrat, stayed her ruling until Friday, leaving Donald J. Trump’s team time to appeal the decision.","A state judge in Illinois ruled on Wednesday that former President Donald J. Trump had engaged in insurrection and was ineligible to appear on the state’s primary ballot. The decision creates uncertainty for the state’s March election, in which early voting is already underway.","{'main': 'Judge Orders Trump Removed From Illinois Primary Ballot', 'kicker': None, 'content_kicker': None, 'print_headline': 'Illinois Judge Orders Trump Removed From State’s Primary Ballots', 'name': None, 'seo': None, 'sub': None}","['Illinois', 'Trump, Donald J', 'Presidential Election of 2024']",2024-02-29T00:39:01+0000,article,U.S.
Legal retailers are struggling to get their footing in the face of a much larger illicit market.,Gov. Kathy Hochul visited New York City on Wednesday to drum up support for her latest proposals for shutting down the unlicensed marijuana shops that have exploded in number in the wake of the legalization of recreational cannabis.,"{'main': 'Hochul Pushes for Cannabis Crackdown to Get ‘Some Teeth’', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Marijuana', 'Hochul, Kathleen C', 'New York City', 'Law and Legislation', 'Shopping and Retail', 'Black Markets']",2024-02-29T00:52:45+0000,article,New York
"TikTok rallied around the singer, who revealed during her cancer treatment that she had transferred the rights to her final song to her son, as an inheritance of sorts.","Cat Janice, a singer and songwriter who released a buoyant pop track from hospice that galvanized her thousands of supporters online to sway, and even groove, in the face of tragedy, died on Wednesday at her family home in Annandale, Va. She was 31.","{'main': 'Cat Janice, Singer Who Released a Dance Track From Hospice, Dies at 31', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Janice, Cat (1993-2024)', 'Deaths (Obituaries)', 'Pop and Rock Music', 'Social Media', 'Hospice Care', 'TikTok (ByteDance)']",2024-02-29T00:56:53+0000,article,Style
A state judge in Illinois ruled that former President Donald J. Trump had engaged in insurrection and was ineligible to appear on the state’s primary ballot.,A state judge in Illinois ruled that former President Donald J. Trump had engaged in insurrection and was ineligible to appear on the state’s primary ballot.,"{'main': 'Read the Illinois Judge’s Ruling', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'Illinois', 'Presidential Election of 2024']",2024-02-29T01:16:39+0000,multimedia,U.S.
"John Patrick Shanley’s new play, starring Cecily Strong and David Zayas, is a romantic comedy with a penchant for the resolutely dismal.","Fran and Owen have been chatting for only a few minutes, not all that companionably, when he asks her out. It’s a risky thing to do, since she’s a customer at the drop-off laundry he owns. To Owen, though, Fran resembles his ex-fiancée: “Smart, one inch from terrific, but gloomy,” he says.","{'main': 'Review: In ‘Brooklyn Laundry,’ There’s No Ordering Off the Menu', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Theater', 'Theater (Off Broadway)', 'Manhattan Theater Club', 'New York City Center Theater', 'Shanley, John Patrick', 'Zayas, David', 'Strong, Cecily', 'Lozano, Florencia', 'Brooklyn Laundry (Play)']",2024-02-29T01:45:06+0000,article,Theater
The department is looking into whether the blowout of a door panel in January violated a 2021 settlement after two fatal plane crashes.,"The Justice Department is reviewing whether an early January incident in which a part of a Boeing plane blew out in midflight violated a 2021 agreement to settle a criminal charge against the company, according to a person familiar with the review.","{'main': 'Boeing Faces Justice Dept. Review Over Max 9 Incident', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Boeing Company', 'Justice Department', 'Federal Aviation Administration', 'AIRLINES AND AIRPLANES', 'Aviation Accidents, Safety and Disasters', 'Boeing 737 Max Groundings and Safety Concerns (2019)']",2024-02-29T01:45:50+0000,article,Business Day
"Xaviar Michael Babudar, a popular Kansas City Chiefs fan who dressed as a wolf at games, pleaded guilty on Wednesday in a series of robberies in 2022 and 2023, prosecutors said.","A Kansas City Chiefs superfan known as the Chiefsaholic pleaded guilty on Wednesday in federal court on charges related to a string of bank robberies across seven states in 2022 and 2023, prosecutors said, adding that he had used some of the money to gamble on his favorite team.","{'main': '‘Chiefsaholic’ Superfan Pleads Guilty in String of Bank Robberies', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Fugitives', 'Robberies and Thefts', 'Bank Robberies', 'Fans (Persons)', 'Casinos', 'Football', 'Kansas City (Mo)', 'Kansas City Chiefs', 'internal-storyline-no']",2024-02-29T01:57:18+0000,article,U.S.
