abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Speaking in Conway, S.C., Donald J. Trump said as president he had told NATO allies that he would urge Russian aggression against countries that had not met unofficial financial commitments.","Former President Donald J. Trump said on Saturday that, while president, he told the leaders of NATO countries that he would “encourage” Russia “to do whatever the hell they want” to countries that had not paid the money they owed to the military alliance.","{'main': 'Trump Says He Gave NATO Allies Warning: Pay In or He’d Urge Russian Aggression', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Trump, Donald J', 'North Atlantic Treaty Organization', 'Defense and Military Forces', 'United States International Relations', 'Presidential Election of 2024', 'United States Politics and Government', 'Putin, Vladimir V', 'Russia', 'Europe']",2024-02-11T00:26:40+0000,article,U.S.
Here’s a look at celebrations around the world.,Here’s a look at celebrations around the world.,"{'main': 'The Year of the Dragon Roars In', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Lunar New Year', 'Bangkok (Thailand)', 'China']",2024-02-11T00:57:50+0000,multimedia,World
"Representative Mike Gallagher of Wisconsin, once seen as a rising star, made the announcement just days after voting against impeaching the homeland security secretary.","Representative Mike Gallagher, Republican of Wisconsin, announced on Saturday that he would not run for re-election, just days after breaking with his party to cast a decisive vote against impeachment charges for Alejandro N. Mayorkas, the homeland security secretary.","{'main': 'Congressman Who Broke With G.O.P. on Mayorkas Vote Will Not Seek Re-election', 'kicker': None, 'content_kicker': None, 'print_headline': 'After Breaking Ranks, G.O.P. Lawmaker Won’t Run Again', 'name': None, 'seo': None, 'sub': None}","['United States Politics and Government', 'Impeachment', 'Cyberwarfare and Defense', 'House of Representatives', 'Republican Party', 'Mayorkas, Alejandro', 'Gallagher, Mike (1984- )', 'Homeland Security Department']",2024-02-11T02:42:01+0000,article,U.S.
A campaign to make the country an explicitly Hindu nation has had a chilling effect on left-leaning and secular institutions like Jawaharlal Nehru University.,"Jawaharlal Nehru University, named for India’s first prime minister, is one of the country’s premier liberal institutions, a hothouse of strong opinions and left-leaning values whose graduates populate the upper echelons of academia and government.","{'main': '‘It Is Suffocating’: A Top Liberal University Is Under Attack in India', 'kicker': None, 'content_kicker': None, 'print_headline': 'Hindu Radicals Target Colleges As ‘Anti-India’', 'name': None, 'seo': None, 'sub': None}","['Colleges and Universities', 'Hinduism', 'Politics and Government', 'Demonstrations, Protests and Riots', 'Nationalism (Theory and Philosophy)', 'Jawaharlal Nehru University', 'Bharatiya Janata Party', 'Rashtriya Swayamsevak Sangh (India)', 'Modi, Narendra', 'India']",2024-02-11T03:09:14+0000,article,World
"Quotation of the Day for Sunday, February 11, 2024.","“We’re not New York or Chicago, but we’re getting there. We’re showing people that we have cool stuff going on here.”","{'main': 'Quotation of the Day: An Old Cowtown Fancies Its Time in the Limelight', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}",[],2024-02-11T04:44:14+0000,article,Corrections
"Corrections that appeared in print on Sunday, Feb. 11, 2024.","An article on Feb. 4 about the founding of Israel incorrectly identified Jorge Garcia Granados. He was the Guatemalan ambassador to the United Nations, not the foreign minister of Guatemala.","{'main': 'Corrections: Feb. 11, 2024', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",[],2024-02-11T04:44:26+0000,article,Corrections
"Israel has asked the military to come up with plans to evacuate Gazans, but it isn’t clear where they are supposed to go or when Israel’s ground invasion might begin.","Petrified Gazans in the cramped southern border city of Rafah scrambled to evade bombardment on Saturday as they prepared to flee an expected Israeli ground offensive, dreading the prospect of again searching for safety in a place with few, if any, options to escape the war.","{'main': 'Terrified Gazans Await an Israeli Advance in the City They Fled To', 'kicker': None, 'content_kicker': None, 'print_headline': 'For Gazans, a Deep Fear Of Having to Flee Again', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Israel', 'Defense and Military Forces', 'Rafah (Gaza Strip)', 'Palestinians', 'Civilian Casualties', 'Refugees and Displaced Persons', 'Evacuations and Evacuees', 'Gaza Strip', 'Hamas', 'Egypt']",2024-02-11T04:56:16+0000,article,World
"At a time of turmoil for Britain’s royal family, an exhibition at Windsor Castle provides an insight into the lives of an earlier king and queen.","The silver crown is set with diamonds. Rubies, sapphires, emeralds and seed pearls are peppered through the design. And the red velvet cap inside would be fit to cushion the head of a monarch.","{'main': '‘Feel a Bit Like Gulliver’: Peek Inside a 100-Year-Old Royal Dolls’ House', 'kicker': None, 'content_kicker': None, 'print_headline': 'An Itty-Bitty Glimpse of Royal Life 100 Years Ago', 'name': None, 'seo': None, 'sub': None}","['Dollhouses', 'Royal Families', 'Mary, Queen of England', 'Royal Collection Trust', 'George V, King of Great Britain', 'Great Britain', 'England', 'Lutyens, Edwin', 'Palaces and Castles', 'ARCHITECTURE']",2024-02-11T05:01:23+0000,article,World
The election of the center-right politician fills a role that is responsible for foreign policy in an era of rising wariness of neighboring Russia.,"Finns elected the center-right politician Alexander Stubb as their new president on Sunday, in the first national election since the country joined NATO, filling a post that will be critical to shaping Finland’s role in the alliance at a time of increasingly fraught relations with Russia.","{'main': 'Finland Elects Alexander Stubb President as It Ushers in NATO Era', 'kicker': None, 'content_kicker': None, 'print_headline': 'New President Is Elected In Finland, as Country Ushers In the NATO Era', 'name': None, 'seo': None, 'sub': None}","['International Relations', 'Politics and Government', 'Elections', 'United States International Relations', 'Defense and Military Forces', 'Russian Invasion of Ukraine (2022)', 'Haavisto, Pekka', 'Niinisto, Sauli', 'European Union', 'North Atlantic Treaty Organization', 'Finland', 'Russia', 'Putin, Vladimir V', 'Ukraine', 'Europe']",2024-02-11T05:01:24+0000,article,World
"A potential expansion of the nation’s military draft to replenish the exhausted, battered army has become an emotional, politically charged issue.","Soldiers fight in freezing, muddy trenches bombarded by artillery, or in warrens of burned and blown-up houses in urban combat. Casualty rates are high, and dangerous missions, like storming enemy-held tree lines, abound.","{'main': 'Short on Soldiers, Ukraine Debates How to Find the Next Wave of Troops', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Bipartisan Vote, Senate Moves Forward on Ukraine-Israel Aid', 'name': None, 'seo': None, 'sub': None}","['Russian Invasion of Ukraine (2022)', 'Draft and Recruitment (Military)', 'Zelensky, Volodymyr', 'Syrsky, Oleksandr', 'Zaluzhny, Valery', 'Europe', 'Ukraine', 'Defense and Military Forces', 'Kyiv (Ukraine)', 'Russia']",2024-02-11T05:01:24+0000,article,World
