abstract,lead_paragraph,headline,keywords,pub_date,document_type,section_name
"Prime Minister Benjamin Netanyahu said 15 Israeli soldiers had been killed since Friday, but vowed to keep fighting.","Israeli leaders vowed on Sunday to pursue their war against Hamas, even as Israel’s own casualties mounted, with 15 soldiers reported killed in the Gaza Strip since Friday.","{'main': 'Israel Says It Is Intensifying Its Campaign Against Hamas', 'kicker': None, 'content_kicker': None, 'print_headline': 'Netanyahu Cites ‘Heavy Cost’ of War, but Vows to Continue the Fight', 'name': None, 'seo': None, 'sub': None}","['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'United States International Relations', 'Netanyahu, Benjamin', 'Biden, Joseph R Jr', 'Hamas', 'Israel', 'Gaza Strip']",2023-12-25T00:00:14+0000,article,World
"As dinner tables and snack menus feature far more chicken and cheese, farms are expanding where water is scarce.","As dinner tables and snack menus feature far more chicken and cheese, farms are expanding where water is scarce.","{'main': 'How America’s Diet Is Feeding the Groundwater Crisis', 'kicker': None, 'content_kicker': None, 'print_headline': 'America’s Diet Is Feeding a Groundwater Crisis', 'name': None, 'seo': None, 'sub': None}","['Agriculture and Farming', 'Factory Farming', 'Water', 'Aquifers', 'Poultry', 'Cheese', 'Food', 'Chickens', 'Dairy Products', 'Soybeans', 'United States', 'vis-design']",2023-12-25T01:00:01+0000,multimedia,Climate
Wishing you and your family an excellent holiday.,"At a dairy farm in New York this month, carolers serenaded a herd of 28 cattle. Across Europe, Christmas markets popped up like fairy-dusted street fairs. And there’s cheer to be found even in the farthest reaches of the cosmos — the winking lights of the Christmas Tree Galaxy Cluster shine from approximately 4.3 billion light-years away.","{'main': 'A Special Christmas Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Christmas'],2023-12-25T05:01:04+0000,article,Briefing
"The Ukrainian Orthodox Church formally changed the main date for the festivities, departing from the Russian tradition of celebrating on Jan. 7, according to the Julian calendar.",Christmas lights flickered on ahead of schedule. Families sang carols a little sooner. And the first presents of the season — by tradition hidden under a pillow or in a boot — appeared two weeks early.,"{'main': 'Christmas Moves to Dec. 25 in Ukraine, Another Rebuff of Russia', 'kicker': None, 'content_kicker': None, 'print_headline': 'Early Arrival  Of Christmas  Lifts Ukraine', 'name': None, 'seo': None, 'sub': None}","['Christmas', 'Russian Orthodox Church', 'Russian Invasion of Ukraine (2022)', 'Ukrainian Orthodox Church', 'Russia', 'Ukraine']",2023-12-25T05:01:27+0000,article,World
"No corrections appeared in print on Monday, Dec. 25, 2023.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.","{'main': 'No Corrections: Dec. 25, 2023', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2023-12-25T05:49:11+0000,article,Corrections
Several networks air countdown-to-2024 specials. And HBO releases a documentary about mass hysteria in the final days of 1999.,"Between network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Dec. 24-31. Details and times are subject to change.","{'main': 'What’s on TV This Week: New Year’s Eve Specials and ‘Time Bomb Y2K’', 'kicker': None, 'content_kicker': None, 'print_headline': 'This Week on TV', 'name': None, 'seo': None, 'sub': None}","['Television', 'Movies']",2023-12-25T06:00:12+0000,article,Arts
In case you need some puzzle help.,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.","{'main': 'Today’s Wordle Review', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Wordle (Puzzle)'],2023-12-25T08:00:02+0000,article,Crosswords & Games
Feeling stuck on today’s puzzle? We can help.,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.","{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",['Spelling Bee (Game)'],2023-12-25T08:00:03+0000,article,Crosswords & Games
In case you need some puzzle help.,"Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","{'main': 'The Connections Companion', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","['Crossword Puzzles', 'Connections (Game)']",2023-12-25T08:00:03+0000,article,Crosswords & Games
"Riyadh is seeking to avoid getting dragged back into a bloody clash with the Yemeni militia, which has sowed chaos by attacking shipping and firing missiles at Israel.","After Iran-backed rebels took over the capital of Yemen in 2014, a 30-year-old Saudi prince named Mohammed bin Salman spearheaded a military intervention to rout them.","{'main': 'Hoping for Peace With Houthis, Saudis Keep Low Profile in Red Sea Conflict', 'kicker': None, 'content_kicker': None, 'print_headline': 'Saudis, Eager for Peace, Avoid a Red Sea Conflict', 'name': None, 'seo': None, 'sub': None}","['Yemen', 'Saudi Arabia', 'Gaza Strip', 'Israel', 'Iran', 'Red Sea', 'Mohammed bin Salman (1985- )', 'Houthis', 'Israel-Gaza War (2023- )', 'International Relations', 'War and Armed Conflicts']",2023-12-25T08:00:20+0000,article,World
